First_strain,Treatment,Time,MeanLeaf,SELeaf
T173,T173-T173,0,0,0
T173,T173-T173,25,1.655172,0.1338688
T173,T173-T173,33,2.37931,0.1948461
T173,T173-T173,45,2.827586,0.2582099
T173,T173-T173,60,4.068966,0.4238314
T173,T173-1022,0,0,0
T173,T173-1022,25,1.448276,0.1614757
T173,T173-1022,33,1.896552,0.2066912
T173,T173-1022,45,2.37931,0.2825543
T173,T173-1022,60,3.448276,0.4343224
T173,T173-Control,0,0,0
T173,T173-Control,25,1.5,0.1418272
T173,T173-Control,33,2.1,0.1878493
T173,T173-Control,45,2.7,0.2451835
T173,T173-Control,60,3.733333,0.3585838
1022,1022-T173,0,0,0
1022,1022-T173,25,1.766667,0.1143028
1022,1022-T173,33,2.5,0.1712026
1022,1022-T173,45,3.6,0.2737563
1022,1022-T173,60,5.633333,0.501683
1022,1022-1022,0,0,0
1022,1022-1022,25,1.793103,0.1151066
1022,1022-1022,33,2.482759,0.1763106
1022,1022-1022,45,3.344828,0.2685294
1022,1022-1022,60,4.482759,0.4372459
1022,1022-Control,0,0,0
1022,1022-Control,25,1.766667,0.1143028
1022,1022-Control,33,2.4,0.1832027
1022,1022-Control,45,3.233333,0.2655869
1022,1022-Control,60,4.566667,0.4565823
Control,Control-T173,0,0,0
Control,Control-T173,25,1.103448,0.1812982
Control,Control-T173,33,1.37931,0.2401446
Control,Control-T173,45,1.758621,0.3241327
Control,Control-T173,60,2.37931,0.4666562
Control,Control-1022,0,0,0
Control,Control-1022,25,1.483871,0.1597779
Control,Control-1022,33,1.967742,0.2247286
Control,Control-1022,45,2.645161,0.3129753
Control,Control-1022,60,3.8,0.4772931
Control,Control-Control,0,0,0
Control,Control-Control,25,1.241379,0.1765513
Control,Control-Control,33,1.758621,0.2513764
Control,Control-Control,45,2.344828,0.3483807
Control,Control-Control,60,3.172414,0.4914765
